atom_type,atom_value,first_seen,last_updated,subcategories,threat_scores,threat_types
file,b63c8fcebf1a419c560b84c5e652fe7235c60473a8a1750d2f1307c05e7a6669,2022-01-31T16:59:34Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']",[100],['malware']
file,bbf7220635908afede0eebc7e83ba2eb836526490d16b15305cacb96f65d6e6d,2022-01-31T16:59:34Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']",[100],['malware']
file,c5a955b3e71defd69804e101709fdf2b62443ebf944ac00933e77bf43dc44327,2022-01-31T16:59:34Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']",[100],['malware']
file,c7810b25c8edd6269c92af482560e600,2021-07-11T20:01:00Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']","[19, 66, 30]","['hack', 'malware', 'phishing']"
file,cb0d151d930b17f6376c18aa15fd976eac53d6f07d065fc27c40b466e3bc49aa,2022-02-05T13:56:54Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']","[100, 50]","['malware', 'phishing']"
file,d93f7fb038abdb8481e6de0008eaf501508c33c7aca8f40fdd384a7b309b31df,2022-01-31T16:59:34Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']",[100],['malware']
file,dddd77f42bfb365f36762ad4db4a741e,2022-02-05T11:56:02Z,2022-02-28T03:30:54Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']","[100, 50]","['malware', 'phishing']"
file,de85c2b7f4b773721f7ce87480a7d6fc2ce11c3ba15b6c7adfc29ca84cf1425b,2022-01-31T16:59:34Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']",[100],['malware']
file,eb845b7a16ed82bd248e395d9852f467,2022-02-24T07:43:34Z,2022-03-10T22:11:37Z,"['Malware:Wiper - S0041', 'Attack Pattern:Group Policy Modification - T1484.001', 'Attack Pattern:Data Destruction - T1485', 'Attack Pattern:Disk Structure Wipe - T1561.002', 'Attack Pattern:Signed Binary Proxy Execution - T1218', 'Malware:Trojan', 'Attack Pattern:Inhibit System Recovery - T1490']","[30, 100, 50]","['hack', 'malware', 'phishing']"
file,f216bafa84123bacaabdf4ad622eb80d0e2d8425fd8937dc100d65bdc1af725e,2022-01-31T16:59:34Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']",[100],['malware']
fqdn,akademia-mil.space,2022-02-25T15:19:07Z,2022-03-11T15:19:07Z,[],[15],['phishing']
fqdn,aligatou.ru,2022-02-04T10:42:45Z,2022-03-09T10:42:45Z,['Intrusion Set:Gamaredon Group - G0047'],[15],['malware']
fqdn,dudocilo.ru,2022-02-04T10:42:49Z,2022-03-09T10:42:49Z,['Intrusion Set:Gamaredon Group - G0047'],[15],['malware']
fqdn,historyna.ru,2022-02-04T10:43:17Z,2022-03-09T10:43:17Z,['Intrusion Set:Gamaredon Group - G0047'],[15],['malware']
